Titre;Description;MotsClés;NomDuLieu;CodePostal;Ville;Région;Département;TypeEvénement;AgeMinimum;AgeMaximum;ConditionsDeParticipation
Grignols, notre village d'autrefois;Grignols notre village d'autrefois;;Bibliothèque municipale de Grignols;33690;Grignols;Nouvelle-Aquitaine;Gironde;Exposition;;;Entrée libre
Une nuit de la lecture en pleine après-midi;Différents types de lecture et activités sur le thème nuit, sommeil, rêve, lune;"Atelier;création;lecture à voix haute;lecture audio";Groupe scolaire Dessenheim;68600;Dessenheim;Grand Est;Haut-Rhin;Lecture / Conte;;;Sur inscription
Lectures;lectures sonores;;Collège Anatole France Toulouse;31400;Toulouse;Occitanie;Haute-Garonne;Lecture / Conte;10;99;Sur inscription
Ecouter, lire et jouer à la bilbiothèque de nuit !;Venez écouter des histoires, de la musique, lire et jouer à la médiathèque jusque 22h.;;Médiathèque Christiane Doutart;76460;Saint-Valery-en-Caux;Normandie;Seine-Maritime;Soirée jeux (jeux de société, jeux vidéo, jeux d’évasion/escape game);;;Entrée libre
À la découverte des livres de l'école;a la découverte des livres de l'école;histoires;École maternelle l'Estanque;31660;Bessières;Occitanie;Haute-Garonne;Lecture / Conte;;;Entrée libre
Une nuit dans l'espace;Des lectures autour de l'espace, de la conquête de la lune à l'infini du cosmos..;"Lecture;espace;cosmos;lune;contes;collège";Collège Odilon Barrot;48800;Villefort;Occitanie;Lozère;Lecture / Conte;8;99;Sur inscription
"Théâtre-patate ""La Conteuse et son roi nu"" par la Cie Chiloé";ouverture de la médiathèque dans le noir avec des surprises ... suivi d'un moment de théâtre-patate : l'histoire de la Conteuse et son roi nu par la Cie Chiloé;ouverture de nuit - théâtre -;Médiathèque d'Heyrieux;38540;Heyrieux;Auvergne-Rhône-Alpes;Isère;Spectacle (danse, concert, performance, théâtre…);;;Entrée libre
Chasse aux trésors dans les coulisses de la bibliothèque;Entrée gratuite pour toute la famille. Sur réservation. Enfants accompagnés d’un seul adulte. Lampe de poche conseillée.;;Bibliothèque Municipale de Wattrelos;59150;Wattrelos;Hauts-de-France;Nord;Soirée jeux (jeux de société, jeux vidéo, jeux d’évasion/escape game);6;99;Sur inscription
Soirée astronomie;une soirée autour de l'astronomie et l'astrophysique pour comprendre et observer le ciel;;Médiathèque Ramon Llull;66370;Pézilla-la-Rivière;Occitanie;Pyrénées-Orientales;Lecture / Conte;;99;Sur inscription
Livres en scène - Accès aux livres libre, petites lectures;Livres en scène : des livres, des lectures, des ateliers, un spectacle conté qui va au cœur des cités.;"Livres en scène;Ti Baba et le repas gourmand;Spectacle;Conte;dégustationss;Lecture-goûter;auteur;La P'tite Scène Qui Bouge";Groupe d'habitations Les Bons Enfants;97546;Saint-Pierre;La Réunion;;Lecture / Conte;;99;Entrée libre
Lecture à la médiathèque intercommunale à Monségur;Lectures pour les enfants : des histoires à grignoter avant le souper...;lecture;Médiathèque intercommunale de proximité;33580;Monségur;Nouvelle-Aquitaine;Gironde;Lecture / Conte;5;10;Entrée libre
Moment musical et poétique avec le duo de guitares PALISSANDRE, Vanessa Dartier et Yann Dufresne;Concert  et poésie …La  musique populaire espagnole de De Falla et lecture de poèmes de Federico Garcia Lorca par le Duo Palissandre;"De Falla;Garcia Lorca;poésie;concert;duo;Palissandre";Librairie l'Éclectique;;Saint-Maur-des-Fossés;Île-de-France;Val-de-Marne;Spectacle (danse, concert, performance, théâtre…);;;Entrée libre
Escape game à la bibliothèque;Saurez-vous résoudre l'énigme en moins d'une heure ?;Escape game;Bibliothèque municipale de Prévessin-Moëns;1280;Prévessin-Moëns;Auvergne-Rhône-Alpes;Ain;Soirée jeux (jeux de société, jeux vidéo, jeux d’évasion/escape game);12;121;Sur inscription
